,x,
1,Rafah,S
2,Rafah Camp,S
3,Khan Yunis,S
4,Al Shokat,S
5,Khan Yunis Camp,S
6,Al-Nnaser,S
7,Al Qarara,S
8,Deir al Balah,S
9,Bani Suheila,S
10,Al Fukhkhari,S
11,'Abasan al Kabira,S
12,Az Zawayda,S
13,Deir al Balah Camp,S
14,Wadi as Salqa,S
15,'Abasan al Jadida,S
16,Khuza'a,S
17,An Nuseirat,S
18,Al Musaddar,S
19,Madinat Ezahra,N
20,Al Maghazi,S
21,An Nuseirat Camp,S
22,Al Bureij,S
23,Al Maghazi Camp,S
24,Gaza,N
25,Al Mughraqa,N
26,Al Bureij Camp,S
27,Juhor ad Dik,N
28,Ash Shati' Camp,N
29,NA,S
30,Beit Lahiya,N
31,Jabalya,N
32,Jabalya Camp,N
33,Um Al-Nnaser (Al Qaraya al Badawiya),N
34,Beit Hanun,N